                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      0,                 1.2471,                 1.2168,                  1.253,                 0.9498,                0.92683,                 0.9526,                0.55004,                 1.4275,                0.74063,                 1.3386,               0.070023,              0.0033308,              0.0033308
                      1,                 1.2222,                0.81048,                  1.225,                0.96174,                0.91972,                0.96095,                0.60274,                 1.2227,                0.67276,                 1.2414,               0.039759,              0.0064002,              0.0064002
                      2,                 1.2625,                0.81617,                 1.2573,                0.95417,                0.89212,                0.93869,                0.53749,                 1.4382,                0.74532,                 1.3646,              0.0092309,              0.0092057,              0.0092057
                      3,                 1.2604,                0.78585,                 1.2604,                0.96413,                0.92037,                0.95057,                0.60458,                 1.3326,                 0.6247,                 1.2886,               0.008812,               0.008812,               0.008812
                      4,                 1.2318,                0.73047,                  1.252,                0.96656,                0.92184,                0.96513,                0.61179,                 1.2853,                0.60963,                 1.2676,               0.008812,               0.008812,               0.008812
                      5,                 1.2124,                0.68685,                 1.2407,                0.97066,                0.93097,                0.96471,                 0.6357,                 1.2572,                0.57264,                 1.2553,               0.008416,               0.008416,               0.008416
                      6,                 1.1841,                0.66217,                 1.2222,                0.97186,                0.93966,                0.96891,                0.64019,                 1.2271,                0.55452,                 1.2391,                0.00802,                0.00802,                0.00802
                      7,                 1.1638,                0.63023,                 1.2113,                0.96832,                0.93058,                0.96677,                0.64605,                 1.2272,                0.52521,                 1.2173,               0.007624,               0.007624,               0.007624
                      8,                 1.1554,                0.61543,                 1.2061,                0.97729,                0.93246,                0.97191,                 0.6483,                 1.2312,                0.49981,                 1.2189,               0.007228,               0.007228,               0.007228
                      9,                 1.1368,                0.59861,                  1.195,                0.97898,                0.93996,                0.97369,                0.64884,                 1.2272,                0.50209,                 1.2225,               0.006832,               0.006832,               0.006832
                     10,                 1.1274,                0.58536,                 1.1909,                 0.9778,                0.94371,                 0.9732,                0.65471,                  1.214,                0.48419,                 1.2113,               0.006436,               0.006436,               0.006436
                     11,                 1.1171,                0.57033,                 1.1826,                0.97188,                0.94014,                0.97248,                0.67261,                 1.1691,                0.46627,                 1.1935,                0.00604,                0.00604,                0.00604
                     12,                 1.1032,                0.56029,                 1.1779,                0.97805,                0.94053,                0.97811,                0.66526,                 1.1767,                0.45811,                 1.1981,               0.005644,               0.005644,               0.005644
                     13,                 1.0938,                0.54663,                 1.1713,                 0.9764,                0.95356,                 0.9784,                0.67952,                 1.1485,                0.44266,                 1.1741,               0.005248,               0.005248,               0.005248
                     14,                 1.0807,                0.53532,                 1.1623,                0.97736,                0.95188,                0.97768,                0.68485,                 1.1377,                0.44417,                 1.1668,               0.004852,               0.004852,               0.004852
                     15,                 1.0739,                 0.4677,                 1.2095,                0.97626,                0.94522,                0.97829,                0.67836,                 1.1586,                0.45054,                  1.179,               0.004456,               0.004456,               0.004456
                     16,                  1.054,                0.45212,                 1.1982,                0.98287,                0.94981,                 0.9813,                0.68974,                 1.1337,                0.43446,                 1.1616,                0.00406,                0.00406,                0.00406
                     17,                 1.0441,                0.44702,                 1.1856,                0.97888,                0.94653,                0.97884,                0.69328,                 1.1213,                0.43033,                 1.1576,               0.003664,               0.003664,               0.003664
                     18,                  1.024,                0.42979,                 1.1748,                0.98162,                0.95186,                0.98228,                0.69785,                 1.1231,                0.41592,                 1.1572,               0.003268,               0.003268,               0.003268
                     19,                 1.0195,                0.42235,                 1.1718,                0.98066,                0.95356,                0.98283,                0.69829,                 1.1232,                0.42056,                 1.1577,               0.002872,               0.002872,               0.002872
                     20,                 1.0023,                0.41206,                 1.1576,                0.97683,                0.95685,                0.98244,                0.69978,                 1.1089,                0.41154,                 1.1472,               0.002476,               0.002476,               0.002476
                     21,                0.99377,                0.40038,                 1.1515,                0.97149,                 0.9606,                0.98178,                0.70012,                 1.1169,                0.40812,                 1.1504,                0.00208,                0.00208,                0.00208
                     22,                0.98032,                0.38773,                 1.1422,                0.97524,                0.96201,                0.98287,                0.70493,                 1.1109,                0.39879,                 1.1485,               0.001684,               0.001684,               0.001684
                     23,                0.96291,                0.37649,                 1.1308,                0.97385,                0.96077,                0.98207,                 0.7009,                 1.1092,                  0.399,                  1.148,               0.001288,               0.001288,               0.001288
                     24,                0.94817,                0.36678,                 1.1247,                0.97815,                0.96013,                0.98261,                0.70553,                  1.106,                0.39306,                 1.1456,               0.000892,               0.000892,               0.000892
